head_type,dense_units,drop1,drop2,dense_l2,dense_units2,drop3,lr_phase1,lr_phase2,unfreeze_last_n_layers,best_val_loss,best_val_acc
gap_gmp,512,0.3,0.4,1e-05,128,0.3,0.0003,0.0001,60,0.7080755233764648,0.7138728499412537
gap_gmp,256,0.2,0.3,0.0001,128,0.3,0.0003,0.0001,40,0.7979726791381836,0.7080925107002258
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.001,5e-05,60,0.8228336572647095,0.6647399067878723
swish,384,0.3,0.3,0.0001,128,0.2,0.001,5e-05,60,0.8843321204185486,0.6213873028755188
gap,512,0.4,0.3,0.0,256,0.2,0.0003,3e-05,60,0.9232388734817505,0.586705207824707
gap_gmp,512,0.3,0.3,1e-05,192,0.2,0.001,0.0001,20,0.9473426938056946,0.6040462255477905
swish,512,0.4,0.4,0.0001,256,0.3,0.001,3e-05,40,1.027877688407898,0.5751445293426514
mlp2,256,0.3,0.3,1e-05,128,0.3,0.001,3e-05,60,1.0293960571289062,0.5289017558097839
swish,384,0.2,0.3,0.0001,128,0.3,0.001,5e-05,40,1.033977746963501,0.5375722646713257
gap,256,0.4,0.4,0.0001,192,0.3,0.001,3e-05,40,1.0372285842895508,0.5462427735328674
mlp2,256,0.2,0.3,0.0001,256,0.2,0.001,3e-05,20,1.0554590225219727,0.5693641901016235
gap_gmp,384,0.4,0.3,1e-05,256,0.2,0.0005,5e-05,40,1.058864951133728,0.5404624342918396
gap,384,0.2,0.2,1e-05,128,0.3,0.001,0.0001,40,1.093706727027893,0.5231214165687561
mlp2,384,0.3,0.3,1e-05,256,0.2,0.001,5e-05,20,1.1001867055892944,0.5173410177230835
mlp2,256,0.3,0.4,1e-05,192,0.2,0.0005,0.0001,20,1.1240359544754028,0.5289017558097839
mlp2,512,0.3,0.4,1e-05,128,0.3,0.0005,0.0001,40,1.1273881196975708,0.5173410177230835
mlp2,256,0.4,0.2,1e-05,192,0.3,0.0005,0.0001,20,1.1340194940567017,0.5317919254302979
mlp2,256,0.2,0.4,0.0001,192,0.2,0.0005,5e-05,40,1.1509803533554077,0.5057803392410278
gap_gmp,512,0.2,0.4,1e-05,256,0.3,0.0005,0.0001,40,1.1531593799591064,0.5086705088615417
mlp2,384,0.2,0.4,1e-05,256,0.2,0.001,3e-05,60,1.162569284439087,0.5028901696205139
swish,384,0.2,0.4,0.0001,192,0.2,0.0003,5e-05,40,1.185738205909729,0.4826589524745941
mlp2,256,0.4,0.2,1e-05,192,0.2,0.0005,5e-05,60,1.1864781379699707,0.48843929171562195
gap,384,0.2,0.3,1e-05,128,0.3,0.0005,3e-05,20,1.1922755241394043,0.48843929171562195
gap_gmp,256,0.2,0.4,1e-05,192,0.2,0.0003,0.0001,20,1.199197769165039,0.46531790494918823
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.0003,5e-05,20,1.2074363231658936,0.4595375657081604
gap,384,0.4,0.2,0.0001,128,0.3,0.0005,5e-05,20,1.21035897731781,0.48554912209510803
gap_gmp,512,0.3,0.3,0.0001,192,0.2,0.0003,5e-05,40,1.2386605739593506,0.5057803392410278
mlp2,256,0.3,0.2,0.0001,192,0.2,0.001,5e-05,60,1.2968815565109253,0.4393063485622406
mlp2,256,0.4,0.2,0.0001,256,0.3,0.0005,5e-05,60,1.297674298286438,0.4595375657081604
gap,512,0.3,0.3,1e-05,256,0.2,0.0003,0.0001,20,1.4158226251602173,0.4046242833137512
