head_type,dense_units,drop1,drop2,dense_l2,dense_units2,drop3,lr_phase1,lr_phase2,unfreeze_last_n_layers,best_val_loss,best_val_acc
mlp2,256,0.4,0.2,1e-05,192,0.2,0.0005,5e-05,60,0.0268770232796669,0.9884393215179443
mlp2,512,0.3,0.4,1e-05,128,0.3,0.0005,0.0001,40,0.03207829222083092,0.9913294911384583
mlp2,384,0.3,0.3,1e-05,256,0.2,0.001,5e-05,20,0.035237520933151245,0.9884393215179443
gap,512,0.4,0.3,0.0,256,0.2,0.0003,3e-05,60,0.03551339730620384,0.9913294911384583
mlp2,256,0.4,0.2,1e-05,192,0.3,0.0005,0.0001,20,0.03652988374233246,0.9913294911384583
gap,384,0.2,0.2,1e-05,128,0.3,0.001,0.0001,40,0.04314779117703438,0.9884393215179443
gap,512,0.3,0.3,1e-05,256,0.2,0.0003,0.0001,20,0.04407563805580139,0.9826589822769165
gap_gmp,512,0.2,0.4,1e-05,256,0.3,0.0005,0.0001,40,0.044129978865385056,0.9913294911384583
gap,384,0.2,0.3,1e-05,128,0.3,0.0005,3e-05,20,0.044169068336486816,0.9797688126564026
mlp2,256,0.3,0.4,1e-05,192,0.2,0.0005,0.0001,20,0.04939922317862511,0.9855491518974304
gap_gmp,512,0.3,0.3,1e-05,192,0.2,0.001,0.0001,20,0.052633438259363174,0.9855491518974304
gap_gmp,384,0.4,0.3,1e-05,256,0.2,0.0005,5e-05,40,0.05518374219536781,0.9826589822769165
mlp2,256,0.3,0.3,1e-05,128,0.3,0.001,3e-05,60,0.05936867743730545,0.9826589822769165
mlp2,384,0.2,0.4,1e-05,256,0.2,0.001,3e-05,60,0.05961553752422333,0.9797688126564026
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.001,5e-05,60,0.060380544513463974,0.9884393215179443
gap_gmp,256,0.2,0.3,0.0001,128,0.3,0.0003,0.0001,40,0.06907337158918381,0.9884393215179443
gap_gmp,512,0.3,0.4,1e-05,128,0.3,0.0003,0.0001,60,0.07447455823421478,0.9768785834312439
gap,256,0.4,0.4,0.0001,192,0.3,0.001,3e-05,40,0.07522597163915634,0.9913294911384583
gap_gmp,512,0.3,0.3,0.0001,192,0.2,0.0003,5e-05,40,0.07890719175338745,0.9913294911384583
gap_gmp,256,0.2,0.4,1e-05,192,0.2,0.0003,0.0001,20,0.0842808336019516,0.9826589822769165
swish,384,0.2,0.4,0.0001,192,0.2,0.0003,5e-05,40,0.08699023723602295,0.9971098303794861
mlp2,256,0.2,0.4,0.0001,192,0.2,0.0005,5e-05,40,0.09036734700202942,0.9942196607589722
mlp2,256,0.3,0.2,0.0001,192,0.2,0.001,5e-05,60,0.09077009558677673,0.9913294911384583
swish,384,0.2,0.3,0.0001,128,0.3,0.001,5e-05,40,0.09511709213256836,0.9971098303794861
swish,384,0.3,0.3,0.0001,128,0.2,0.001,5e-05,60,0.09906044602394104,0.9913294911384583
mlp2,256,0.4,0.2,0.0001,256,0.3,0.0005,5e-05,60,0.10024464130401611,0.9884393215179443
swish,512,0.4,0.4,0.0001,256,0.3,0.001,3e-05,40,0.11187759786844254,0.9942196607589722
gap,384,0.4,0.2,0.0001,128,0.3,0.0005,5e-05,20,0.11844628304243088,0.9768785834312439
mlp2,256,0.2,0.3,0.0001,256,0.2,0.001,3e-05,20,0.11887248605489731,0.9884393215179443
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.0003,5e-05,20,0.13886801898479462,0.9826589822769165
