head_type,dense_units,drop1,drop2,dense_l2,dense_units2,drop3,lr_phase1,lr_phase2,unfreeze_last_n_layers,best_val_loss,best_val_acc
mlp2,256,0.3,0.3,1e-05,128,0.3,0.001,3e-05,60,0.2918611764907837,0.9161849617958069
gap,512,0.3,0.3,1e-05,256,0.2,0.0003,0.0001,20,0.3089211881160736,0.9017341136932373
mlp2,256,0.4,0.2,1e-05,192,0.2,0.0005,5e-05,60,0.3225470185279846,0.8930636048316956
gap_gmp,512,0.3,0.4,1e-05,128,0.3,0.0003,0.0001,60,0.3332427144050598,0.8988439440727234
mlp2,256,0.4,0.2,1e-05,192,0.3,0.0005,0.0001,20,0.3339844048023224,0.8901734352111816
mlp2,256,0.3,0.4,1e-05,192,0.2,0.0005,0.0001,20,0.337238609790802,0.9046242833137512
gap_gmp,384,0.4,0.3,1e-05,256,0.2,0.0005,5e-05,40,0.34529080986976624,0.8786126971244812
mlp2,384,0.3,0.3,1e-05,256,0.2,0.001,5e-05,20,0.3454233407974243,0.884393036365509
gap,384,0.2,0.3,1e-05,128,0.3,0.0005,3e-05,20,0.35720527172088623,0.884393036365509
gap_gmp,256,0.2,0.3,0.0001,128,0.3,0.0003,0.0001,40,0.3610195815563202,0.8901734352111816
gap,512,0.4,0.3,0.0,256,0.2,0.0003,3e-05,60,0.3666306138038635,0.8930636048316956
mlp2,384,0.2,0.4,1e-05,256,0.2,0.001,3e-05,60,0.3681660294532776,0.8959537744522095
gap_gmp,256,0.2,0.4,1e-05,192,0.2,0.0003,0.0001,20,0.37445810437202454,0.8583815097808838
mlp2,256,0.3,0.2,0.0001,192,0.2,0.001,5e-05,60,0.3766002357006073,0.9046242833137512
gap,384,0.4,0.2,0.0001,128,0.3,0.0005,5e-05,20,0.3776768147945404,0.884393036365509
gap_gmp,512,0.3,0.3,1e-05,192,0.2,0.001,0.0001,20,0.3843194246292114,0.8786126971244812
gap_gmp,512,0.2,0.4,1e-05,256,0.3,0.0005,0.0001,40,0.3857359290122986,0.8988439440727234
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.001,5e-05,60,0.3862508535385132,0.9161849617958069
swish,384,0.3,0.3,0.0001,128,0.2,0.001,5e-05,60,0.38708609342575073,0.9248554706573486
gap,256,0.4,0.4,0.0001,192,0.3,0.001,3e-05,40,0.38713669776916504,0.8786126971244812
gap,384,0.2,0.2,1e-05,128,0.3,0.001,0.0001,40,0.3885343670845032,0.9017341136932373
mlp2,256,0.4,0.2,0.0001,256,0.3,0.0005,5e-05,60,0.3953470289707184,0.913294792175293
mlp2,256,0.2,0.4,0.0001,192,0.2,0.0005,5e-05,40,0.39611345529556274,0.8872832655906677
mlp2,512,0.3,0.4,1e-05,128,0.3,0.0005,0.0001,40,0.4228689968585968,0.8901734352111816
mlp2,256,0.2,0.3,0.0001,256,0.2,0.001,3e-05,20,0.43142423033714294,0.8786126971244812
swish,384,0.2,0.3,0.0001,128,0.3,0.001,5e-05,40,0.4326002895832062,0.8930636048316956
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.0003,5e-05,20,0.44594112038612366,0.8641618490219116
swish,512,0.4,0.4,0.0001,256,0.3,0.001,3e-05,40,0.4702148139476776,0.8670520186424255
swish,384,0.2,0.4,0.0001,192,0.2,0.0003,5e-05,40,0.47751984000205994,0.8872832655906677
gap_gmp,512,0.3,0.3,0.0001,192,0.2,0.0003,5e-05,40,0.49488940834999084,0.8901734352111816
