head_type,dense_units,drop1,drop2,dense_l2,dense_units2,drop3,lr_phase1,lr_phase2,unfreeze_last_n_layers,best_val_loss,best_val_acc
gap,512,0.4,0.3,0.0,256,0.2,0.0003,3e-05,60,0.02435009926557541,0.9855491518974304
mlp2,256,0.3,0.3,1e-05,128,0.3,0.001,3e-05,60,0.056784674525260925,0.9826589822769165
gap_gmp,512,0.3,0.4,1e-05,128,0.3,0.0003,0.0001,60,0.0771169438958168,0.9797688126564026
mlp2,512,0.3,0.4,1e-05,128,0.3,0.0005,0.0001,40,0.10027360916137695,0.9768785834312439
gap_gmp,512,0.3,0.3,1e-05,192,0.2,0.001,0.0001,20,0.11327683180570602,0.9624277353286743
gap_gmp,384,0.4,0.3,1e-05,256,0.2,0.0005,5e-05,40,0.11620347201824188,0.9768785834312439
gap_gmp,256,0.2,0.3,0.0001,128,0.3,0.0003,0.0001,40,0.11852432787418365,0.9710982441902161
mlp2,256,0.2,0.4,0.0001,192,0.2,0.0005,5e-05,40,0.11853371560573578,0.9768785834312439
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.001,5e-05,60,0.11870322376489639,0.9826589822769165
gap,256,0.4,0.4,0.0001,192,0.3,0.001,3e-05,40,0.11924352496862411,0.97398841381073
mlp2,256,0.3,0.2,0.0001,192,0.2,0.001,5e-05,60,0.12227293103933334,0.9826589822769165
mlp2,256,0.4,0.2,0.0001,256,0.3,0.0005,5e-05,60,0.12249109894037247,0.9855491518974304
gap_gmp,256,0.2,0.4,1e-05,192,0.2,0.0003,0.0001,20,0.12317544221878052,0.97398841381073
mlp2,256,0.4,0.2,1e-05,192,0.3,0.0005,0.0001,20,0.12799006700515747,0.97398841381073
gap,384,0.2,0.2,1e-05,128,0.3,0.001,0.0001,40,0.12836648523807526,0.9595375657081604
gap,384,0.2,0.3,1e-05,128,0.3,0.0005,3e-05,20,0.13167743384838104,0.9595375657081604
mlp2,256,0.4,0.2,1e-05,192,0.2,0.0005,5e-05,60,0.14117416739463806,0.9682080745697021
gap,512,0.3,0.3,1e-05,256,0.2,0.0003,0.0001,20,0.14154313504695892,0.9682080745697021
gap_gmp,512,0.2,0.4,1e-05,256,0.3,0.0005,0.0001,40,0.16003771126270294,0.97398841381073
swish,384,0.3,0.3,0.0001,128,0.2,0.001,5e-05,60,0.16085585951805115,0.9710982441902161
swish,384,0.2,0.3,0.0001,128,0.3,0.001,5e-05,40,0.1635814905166626,0.9768785834312439
mlp2,384,0.2,0.4,1e-05,256,0.2,0.001,3e-05,60,0.16941305994987488,0.9566473960876465
mlp2,384,0.3,0.3,1e-05,256,0.2,0.001,5e-05,20,0.17658481001853943,0.9595375657081604
swish,512,0.4,0.4,0.0001,256,0.3,0.001,3e-05,40,0.17844605445861816,0.97398841381073
gap_gmp,512,0.3,0.3,0.0001,192,0.2,0.0003,5e-05,40,0.18368808925151825,0.9595375657081604
mlp2,256,0.3,0.4,1e-05,192,0.2,0.0005,0.0001,20,0.19066064059734344,0.9653179049491882
swish,384,0.2,0.4,0.0001,192,0.2,0.0003,5e-05,40,0.2026255875825882,0.9768785834312439
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.0003,5e-05,20,0.21339881420135498,0.9682080745697021
mlp2,256,0.2,0.3,0.0001,256,0.2,0.001,3e-05,20,0.21770071983337402,0.9537572264671326
gap,384,0.4,0.2,0.0001,128,0.3,0.0005,5e-05,20,0.2230144739151001,0.9537572264671326
