lr,mix_full_ratio,train_encoder,tv_w,tv_alpha,tv_beta,use_focal,bot_dropout,dec_dropout,bce_w,freeze_bn,best_val_loss,best_val_dice
3e-05,0.9,False,0.1,0.8,0.2,True,0.0,0.08,0.9,True,0.04040601849555969,0.6597135066986084
2e-05,1.0,False,0.1,0.2,0.8,True,0.03,0.06,0.9,True,0.04877316206693649,0.6135671734809875
2e-05,1.0,True,0.1,0.5,0.5,True,0.0,0.08,0.9,True,0.06598722189664841,0.529453694820404
0.0001,0.5,True,0.2,0.7,0.3,True,0.06,0.0,0.8,True,0.13580603897571564,0.4587857723236084
5e-06,0.7,True,0.1,0.6,0.4,False,0.0,0.04,0.9,True,0.15063636004924774,0.28346580266952515
0.0001,0.5,True,0.3,0.8,0.2,True,0.06,0.1,0.7,True,0.16810685396194458,0.481460303068161
5e-06,0.6,True,0.2,0.8,0.2,True,0.0,0.1,0.8,True,0.16851699352264404,0.3328074812889099
1e-05,0.5,False,0.4,0.4,0.6,False,0.14,0.0,0.6,True,0.19374679028987885,0.6118232607841492
0.0001,0.7,True,0.2,0.8,0.2,False,0.03,0.1,0.8,True,0.2059796005487442,0.4978862702846527
3e-05,0.7,False,0.7,0.8,0.2,True,0.06,0.06,0.30000000000000004,True,0.21202301979064941,0.6351490616798401
7e-05,0.7,False,0.9,0.1,0.9,True,0.0,0.06,0.09999999999999998,True,0.23178084194660187,0.6394734978675842
1e-05,0.8,True,0.2,0.2,0.8,False,0.14,0.08,0.8,True,0.2320737987756729,0.28631505370140076
5e-05,1.0,True,0.5,0.9,0.1,False,0.1,0.02,0.5,True,0.2353162169456482,0.5143040418624878
5e-06,0.7,True,0.3,0.4,0.6,True,0.03,0.02,0.7,True,0.23711581528186798,0.3553485572338104
0.0001,1.0,True,0.5,0.8,0.2,False,0.03,0.06,0.5,True,0.2740284502506256,0.5030032396316528
7e-05,0.6,False,0.9,0.3,0.7,True,0.1,0.1,0.09999999999999998,True,0.28949132561683655,0.6694879531860352
2e-05,0.6,False,0.9,0.8,0.2,False,0.0,0.02,0.09999999999999998,True,0.2998642921447754,0.6245419979095459
0.0001,1.0,True,0.6,0.4,0.6,True,0.1,0.0,0.4,True,0.3357910215854645,0.48670101165771484
7e-05,0.6,True,0.5,0.7,0.3,False,0.06,0.08,0.5,True,0.34218621253967285,0.4652356207370758
7e-05,0.8,True,0.7,0.7,0.3,True,0.1,0.02,0.30000000000000004,True,0.353531152009964,0.462809294462204
1e-05,0.8,False,0.9,0.6,0.4,False,0.1,0.1,0.09999999999999998,True,0.3615396320819855,0.5999028086662292
5e-06,0.5,False,0.8,0.2,0.8,True,0.14,0.02,0.19999999999999996,True,0.3692180812358856,0.49749836325645447
5e-06,0.5,False,0.9,0.3,0.7,True,0.06,0.1,0.09999999999999998,True,0.41193512082099915,0.5046045184135437
1e-05,0.9,True,0.8,0.1,0.9,True,0.06,0.1,0.19999999999999996,True,0.41783279180526733,0.3452751934528351
1e-05,0.5,True,0.7,0.6,0.4,True,0.06,0.04,0.30000000000000004,True,0.4257357716560364,0.41764605045318604
5e-05,0.7,True,0.8,0.5,0.5,True,0.03,0.0,0.19999999999999996,True,0.4401125907897949,0.46987250447273254
5e-05,0.9,True,0.8,0.6,0.4,False,0.14,0.06,0.19999999999999996,True,0.44919416308403015,0.49235841631889343
5e-06,0.6,True,0.6,0.5,0.5,False,0.1,0.04,0.4,True,0.4493659436702728,0.372131884098053
7e-05,0.7,True,0.9,0.8,0.2,False,0.03,0.0,0.09999999999999998,True,0.4985671043395996,0.3988860249519348
5e-06,0.8,True,0.8,0.3,0.7,False,0.14,0.1,0.19999999999999996,True,0.5141654014587402,0.3704250752925873
