trial,val_loss,base_filters,depth,use_bn,dropout,sep_conv,lr,optimizer,w_dice,w_bce,use_focal
1,0.10888589173555374,16,3,True,0.1,False,0.0003,adam,0.6666666666666666,0.3333333333333333,False
2,0.0895453542470932,16,4,True,0.0,False,0.0003,adam,0.8,0.2,False
3,0.0874413326382637,16,3,False,0.05,True,0.003,adamw,0.6,0.4,True
4,0.0729556754231453,12,4,True,0.05,True,0.0003,adam,0.6363636363636362,0.36363636363636365,True
5,0.09125866740942001,12,4,True,0.15,False,0.001,adam,0.7272727272727273,0.2727272727272727,True
6,0.061402011662721634,16,3,True,0.0,False,0.001,adam,0.6,0.4,True
7,0.12863920629024506,12,4,False,0.05,True,0.001,adam,0.7272727272727273,0.2727272727272727,False
8,0.0935732051730156,16,3,True,0.05,True,0.001,adamw,0.8,0.2,False
9,0.11253440380096436,16,4,True,0.05,False,0.001,adamw,0.6363636363636362,0.36363636363636365,False
10,0.12202601134777069,16,4,True,0.15,True,0.003,adamw,0.6666666666666667,0.33333333333333337,False
11,0.14593544602394104,8,4,False,0.15,True,0.0003,adam,0.7272727272727273,0.2727272727272727,False
12,0.10343313217163086,8,3,True,0.05,True,0.003,adam,0.7,0.3,True
13,0.06472431868314743,16,4,True,0.0,True,0.003,adamw,0.6666666666666667,0.33333333333333337,True
14,0.1149071604013443,8,4,True,0.1,False,0.003,adam,0.7272727272727273,0.2727272727272727,False
15,0.06804809719324112,8,4,True,0.0,True,0.001,adam,0.6666666666666667,0.33333333333333337,True
16,0.11730147898197174,8,3,True,0.0,False,0.003,adamw,0.7499999999999999,0.25,False
17,0.12136409431695938,8,4,True,0.1,True,0.0003,adam,0.7272727272727273,0.2727272727272727,True
18,0.13163451850414276,16,4,False,0.15,False,0.0003,adam,0.6666666666666667,0.33333333333333337,False
19,0.1430509239435196,16,3,True,0.0,False,0.003,adam,0.6,0.4,False
20,0.09930288046598434,12,3,True,0.1,True,0.0003,adam,0.8,0.2,True
21,0.08220590651035309,8,4,False,0.05,False,0.0003,adamw,0.7,0.3,True
22,0.11323843896389008,12,3,True,0.0,True,0.003,adamw,0.6,0.4,False
23,0.07632599771022797,8,4,True,0.15,False,0.001,adamw,0.6,0.4,True
24,0.06846407800912857,16,3,True,0.0,False,0.0003,adam,0.7,0.3,True
25,0.08231104910373688,8,4,True,0.05,True,0.0003,adamw,0.7,0.3,True
26,0.10989747196435928,12,4,True,0.05,True,0.0003,adam,0.8,0.2,False
27,0.11680492758750916,16,4,True,0.0,True,0.003,adam,0.7499999999999999,0.25,False
28,0.12026884406805038,8,3,True,0.05,True,0.0003,adam,0.8,0.2,False
29,0.10569896548986435,16,3,False,0.1,True,0.0003,adamw,0.6666666666666667,0.33333333333333337,True
30,0.2002970278263092,8,4,False,0.1,False,0.0003,adamw,0.8,0.2,False
